Timestamp,Age,Grade/Class,Gender,Average hours spent studying per day,Preferred study method,Subject(s) you find most challenging,Extra-curricular activities you participate in,Do you feel marginalized or discriminated against at School/College/University?,"Have you ever used tobacco, alcohol, or other substances?"
2026/04/07 9:54:48 AM GMT+5,49.0,12,Prefer Not Say,2–4 hours,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Arts/Music,Sometimes,Yes
2026/04/07 9:55:07 AM GMT+5,55.0,Under-Grad (Bachelors),Prefer Not Say,1–2 hours,Coaching classes,English,Arts/Music,Rarely,Yes
2026/04/07 9:56:07 AM GMT+5,47.0,11,Prefer Not Say,Less than 1 hour,Online tutorials,Math,Sports,Sometimes,Yes
2026/04/07 9:56:12 AM GMT+5,18.0,12,Male,1–2 hours,Coaching classes,English,Sports,Often,Yes
2026/04/07 9:56:22 AM GMT+5,38.0,Post-grad (Masters),Prefer Not Say,2–4 hours,Online tutorials,English;,,Sometimes,Yes
2026/04/07 9:56:52 AM GMT+5,30.0,Under-Grad (Bachelors),Prefer Not Say,More than 4 hours,Group study,"Science (Physics, Chem, Bio, Comp SCI);",,Rarely,Yes
2026/04/07 9:56:53 AM GMT+5,55.0,12,Prefer Not Say,1–2 hours,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Rarely,Yes
2026/04/07 9:57:28 AM GMT+5,18.0,12,Male,1–2 hours,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI)",Arts/Music,Rarely,Yes
2026/04/07 9:57:56 AM GMT+5,36.0,12,Female,1–2 hours,Self-study,English;,,Rarely,Yes
2026/04/07 9:59:39 AM GMT+5,31.0,11,Male,Less than 1 hour,Coaching classes,English,Debates/Speeches,Sometimes,Yes
2026/04/07 10:00:25 AM GMT+5,35.0,Under-Grad (Bachelors),Female,1–2 hours,Online tutorials,Math,Sports,Rarely,Yes
2026/04/07 10:00:55 AM GMT+5,22.0,Under-Grad (Bachelors),Female,2–4 hours,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Often,Yes
2026/04/07 10:00:58 AM GMT+5,19.0,Under-Grad (Bachelors),Female,1–2 hours,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Sometimes,Yes
2026/04/07 10:01:30 AM GMT+5,60.0,9,Prefer Not Say,Less than 1 hour,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI);",,Rarely,Yes
2026/04/07 10:01:46 AM GMT+5,60.0,9,Male,More than 4 hours,Group study,English;,,Rarely,Yes
2026/04/07 10:02:10 AM GMT+5,42.0,Post-grad (Masters),Female,Less than 1 hour,Self-study,English,Sports,Sometimes,Yes
2026/04/07 10:02:28 AM GMT+5,47.0,9,Prefer Not Say,More than 4 hours,Self-study,English;,,Never,Yes
2026/04/07 10:02:33 AM GMT+5,19.0,10,Female,More than 4 hours,Group study,English,Sports,Sometimes,Yes
2026/04/07 10:02:44 AM GMT+5,25.0,11,Male,More than 4 hours,Online tutorials,"Science (Physics, Chem, Bio, Comp SCI);",,Sometimes,Yes
2026/04/07 10:03:01 AM GMT+5,58.0,10,Female,1–2 hours,Self-study,Math,Debates/Speeches,Often,Yes
2026/04/07 10:03:21 AM GMT+5,53.0,11,Prefer Not Say,Less than 1 hour,Coaching classes,English,Arts/Music,Sometimes,Yes
2026/04/07 10:03:26 AM GMT+5,18.0,12,Male,More than 4 hours,Online tutorials,Math;,,Often,Yes
2026/04/07 10:03:30 AM GMT+5,32.0,12,Prefer Not Say,More than 4 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI)",Arts/Music,Never,Yes
2026/04/07 10:03:36 AM GMT+5,30.0,Post-grad (Masters),Female,2–4 hours,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Often,Yes
2026/04/07 10:03:52 AM GMT+5,56.0,Post-grad (Masters),Female,Less than 1 hour,Self-study,English;,,Sometimes,Yes
2026/04/07 10:04:32 AM GMT+5,32.0,12,Female,Less than 1 hour,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Rarely,Yes
2026/04/07 10:05:11 AM GMT+5,42.0,11,Female,2–4 hours,Group study,Math,Debates/Speeches,Sometimes,Yes
2026/04/07 10:06:22 AM GMT+5,14.0,Post-grad (Masters),Male,2–4 hours,Self-study,"Science (Physics, Chem, Bio, Comp SCI)",Debates/Speeches,Sometimes,Yes
2026/04/07 10:06:22 AM GMT+5,33.0,12,Male,2–4 hours,Coaching classes,Math,Arts/Music,Rarely,Yes
2026/04/07 10:06:38 AM GMT+5,22.0,11,Female,2–4 hours,Self-study,English,Sports,Never,Yes
2026/04/07 10:06:48 AM GMT+5,30.0,11,Male,1–2 hours,Online tutorials,English,Debates/Speeches,Sometimes,Yes
2026/04/07 10:07:03 AM GMT+5,16.0,11,Prefer Not Say,More than 4 hours,Coaching classes,English,Sports,Often,Yes
2026/04/07 10:07:15 AM GMT+5,60.0,11,Female,Less than 1 hour,Coaching classes,"Science (Physics, Chem, Bio, Comp SCI)",Sports,Sometimes,Yes
2026/04/07 10:07:35 AM GMT+5,55.0,11,Female,More than 4 hours,Group study,"Science (Physics, Chem, Bio, Comp SCI)",Arts/Music,Rarely,Yes
2026/04/07 10:08:52 AM GMT+5,37.0,11,Prefer Not Say,More than 4 hours,Coaching classes,English,Debates/Speeches,Rarely,Yes
2026/04/07 10:08:58 AM GMT+5,45.0,Post-grad (Masters),Male,1–2 hours,Online tutorials,Math;,,Rarely,Yes
